07/11-12:04:24.266527 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,45444,192.168.137.180,33434,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2863,60,61440,,,,
07/11-12:04:24.266595 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35640,88,90112,3,3,0,0
07/11-12:04:24.266644 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,34036,192.168.137.180,33435,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2864,60,61440,,,,
07/11-12:04:24.266660 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35641,88,90112,3,3,0,0
07/11-12:04:24.266684 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,35572,192.168.137.180,33436,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2865,60,61440,,,,
07/11-12:04:24.266699 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35642,88,90112,3,3,0,0
07/11-12:04:24.266722 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,39964,192.168.137.180,33437,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,2,0,2866,60,61440,,,,
07/11-12:04:24.266736 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35643,88,90112,3,3,0,0
07/11-12:04:24.266760 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,45220,192.168.137.180,33438,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,2,0,2867,60,61440,,,,
07/11-12:04:24.266775 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35644,88,90112,3,3,0,0
