07/11-12:05:52.356032 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,52592,192.168.137.180,33434,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2893,60,61440,,,,
07/11-12:05:52.356100 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35646,88,90112,3,3,0,0
07/11-12:05:52.356149 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,53311,192.168.137.180,33435,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2894,60,61440,,,,
07/11-12:05:52.356163 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35647,88,90112,3,3,0,0
07/11-12:05:52.356187 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,48730,192.168.137.180,33436,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,1,0,2895,60,61440,,,,
07/11-12:05:52.356201 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35648,88,90112,3,3,0,0
07/11-12:05:52.356224 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,53234,192.168.137.180,33437,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,2,0,2896,60,61440,,,,
07/11-12:05:52.356238 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35649,88,90112,3,3,0,0
07/11-12:05:52.356260 ,1,51004,2,"PACKET RECEIVED",UDP,192.168.137.170,33503,192.168.137.180,33438,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x4A,,,,,,2,0,2897,60,61440,,,,
07/11-12:05:52.356274 ,1,402,7,"ICMP Destination Unreachable Port Unreachable",ICMP,192.168.137.180,,192.168.137.170,,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x66,,,,,,64,192,35650,88,90112,3,3,0,0
