07/11-11:46:37.415392 ,1,50002,0,"PACKET SENT",UDP,192.168.137.170,63016,192.168.137.1,53,00:24:2C:58:5B:F8,BC:C6:DB:0C:D2:32,0x58,,,,,,64,0,0,74,75776,,,,
07/11-11:46:37.426346 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,113,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,43,0,62352,44,45056,,,,
07/11-11:46:37.426491 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,111,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,58,0,15336,44,45056,,,,
07/11-11:46:37.426568 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,3306,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,39,0,16502,44,45056,,,,
07/11-11:46:37.426637 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,80,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,47,0,55606,44,45056,,,,
07/11-11:46:37.426716 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,3389,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,55,0,7775,44,45056,,,,
07/11-11:46:37.426801 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,1723,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,53,0,41954,44,45056,,,,
07/11-11:46:37.426876 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,23,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,46,0,2118,44,45056,,,,
07/11-11:46:37.426951 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,135,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,51,0,4818,44,45056,,,,
07/11-11:46:37.427068 ,1,50002,0,"PACKET SENT",TCP,192.168.137.170,61824,192.168.137.180,1025,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x3D17A6D9,0x0,,0x400,39,0,62744,44,45056,,,,
