07/11-14:18:18.495273 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,8888,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,51,0,17010,44,45056,,,,
07/11-14:18:18.497790 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,587,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,41,0,32705,44,45056,,,,
07/11-14:18:18.497919 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,23,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,56,0,49558,44,45056,,,,
07/11-14:18:18.498096 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,3389,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,45,0,5767,44,45056,,,,
07/11-14:18:18.498693 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,110,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,45,0,8762,44,45056,,,,
07/11-14:18:18.498912 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,80,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,54,0,50935,44,45056,,,,
07/11-14:18:18.499063 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,135,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,59,0,23373,44,45056,,,,
07/11-14:18:18.499382 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,443,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,51,0,1388,44,45056,,,,
07/11-14:18:18.499695 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,22,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,50,0,41739,44,45056,,,,
07/11-14:18:18.500044 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,993,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,54,0,7777,44,45056,,,,
07/11-14:18:18.500479 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,143,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,53,0,1170,44,45056,,,,
07/11-14:18:18.501434 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,1720,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,47,0,1461,44,45056,,,,
07/11-14:18:18.509731 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,5900,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,57,0,11957,44,45056,,,,
07/11-14:18:18.510376 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,111,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,50,0,11307,44,45056,,,,
07/11-14:18:18.510800 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,445,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,45,0,1082,44,45056,,,,
07/11-14:18:18.510910 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,554,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,46,0,4961,44,45056,,,,
07/11-14:18:18.511601 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,21,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,58,0,14650,44,45056,,,,
07/11-14:18:18.512049 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,139,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,44,0,24989,44,45056,,,,
07/11-14:18:18.512655 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,1723,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,37,0,10814,44,45056,,,,
07/11-14:18:18.513659 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,113,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,56,0,61033,44,45056,,,,
07/11-14:18:18.513991 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,80,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x36,*****R**,0x2292CF20,0x0,,0x0,64,0,0,40,40960,,,,
07/11-14:18:18.514558 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,995,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,56,0,43642,44,45056,,,,
07/11-14:18:18.521599 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,8080,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,40,0,37156,44,45056,,,,
07/11-14:18:18.526272 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,3306,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,56,0,63359,44,45056,,,,
07/11-14:18:18.528882 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,53,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,46,0,54122,44,45056,,,,
07/11-14:18:18.532568 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,25,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,51,0,33087,44,45056,,,,
07/11-14:18:18.532703 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,19300,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,39,0,25773,44,45056,,,,
07/11-14:18:18.533078 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,20222,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,56,0,35814,44,45056,,,,
07/11-14:18:18.533452 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,3000,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,55,0,51337,44,45056,,,,
07/11-14:18:18.533769 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,264,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,44,0,52372,44,45056,,,,
07/11-14:18:18.533953 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,4659,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,54,0,52099,44,45056,,,,
07/11-14:18:18.534017 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,8834,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,50,0,61692,44,45056,,,,
07/11-14:18:18.534544 ,1,50001,0,"PACKET RECEIVED",TCP,192.168.137.180,54470,192.168.137.170,500,2C:81:58:F5:37:8E,00:24:2C:58:5B:F8,0x3A,******S*,0x2292CF1F,0x0,,0x400,50,0,58303,44,45056,,,,
