07/11-11:48:41.576980 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,135,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,42,0,41376,44,45056,,,,
07/11-11:48:41.578553 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,1723,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,41,0,1402,44,45056,,,,
07/11-11:48:41.581146 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,111,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,54,0,11472,44,45056,,,,
07/11-11:48:41.583132 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,21,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,37,0,43531,44,45056,,,,
07/11-11:48:41.583173 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,143,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,57,0,30201,44,45056,,,,
07/11-11:48:41.583195 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,113,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,48,0,42768,44,45056,,,,
07/11-11:48:41.583214 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,995,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,44,0,35249,44,45056,,,,
07/11-11:48:41.585241 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,3389,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,56,0,9333,44,45056,,,,
07/11-11:48:41.585277 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,8080,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,44,0,4755,44,45056,,,,
07/11-11:48:41.585297 ,1,51004,2,"PACKET RECEIVED",TCP,192.168.137.170,38811,192.168.137.180,3306,00:24:2C:58:5B:F8,2C:81:58:F5:37:8E,0x3A,******S*,0x15AD06E,0x0,,0x400,54,0,60446,44,45056,,,,
